Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.4,8,239,406
1/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9,237,429
1/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,10.9,259,410
13/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.2,242,408
16/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,11.1,163,286
20/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,10.6,198,386
23/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.3,163,332
27/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.4,232,394
30/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.6,243,411
2/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,9.3,270,507
2/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,10.8,209,354
2/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9,227,420
13/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,8.3,285,510
17/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,8.7,174,346
20/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.5,212,383
25/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.6,11.9,188,342
27/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,12.6,222,402
3/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9,213,424
3/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,10.9,164,311
13/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,8.6,234,395
17/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,10.3,221,458
20/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.6,10.7,249,496
24/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,10.4,244,414
28/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,11.1,205,429
31/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.2,210,384
4/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,7.8,194,401
4/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11.8,213,407
4/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,8.8,259,497
4/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,9.4,212,404
4/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,7.3,92,200
15/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,9.7,257,489
17/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.5,12.5,260,524
24/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,10.9,298,519
28/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.9,237,435
5/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.5,251,438
5/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,9.2,235,435
5/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,242,481
15/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,10.9,221,398
19/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,9.9,183,368
22/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,9,220,482
26/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,12,227,445
29/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,11.5,220,423
6/2/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,14,185,409
6/5/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,10.8,280,567
6/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,13.3,15.3,277,547
6/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.2,12.9,242,532
16/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,12.1,194,508
19/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,12,13.1,257,533
23/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,13.1,232,490
26/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,10.6,190,366
30/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,10.6,226,448
7/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,10.9,219,362
7/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.1,189,349
7/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.9,149,289
14/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.1,172,322
17/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,11,148,290
21/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,121,260
24/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,8.6,204,331
31/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.2,144,312
8/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,11.6,132,265
8/7/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9.5,168,311
8/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9.5,193,371
18/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,233,380
21/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11,162,265
25/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.6,10.5,162,313
28/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,260,518
9/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.4,159,286
9/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,12.3,14.5,175,339
9/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,9.4,211,393
9/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.5,11.8,217,463
15/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,NA,NA
22/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,NA,NA,257,460
25/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.8,11.5,210,380
29/9/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.6,10.9,189,333
10/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10.8,237,472
13/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11.5,232,473
20/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,10.1,199,396
23/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.4,11.7,236,460
27/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.8,13.2,234,444
30/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,12.2,12.7,279,497
11/3/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,10.5,145,245
11/6/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.2,240,444
11/10/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,7.7,159,288
13/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.2,11.3,207,364
17/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,8.3,233,405
20/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,10.7,223,377
25/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.6,11.7,181,316
27/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.7,13,212,439
12/1/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.5,184,299
12/4/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.4,9.6,186,347
12/8/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.2,13.2,216,351
12/11/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,9.4,242,389
15/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.8,11.3,220,332
18/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.3,11.4,167,294
22/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.6,12.3,222,350
26/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11,11.2,201,318
29/12/2009,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,8.9,177,287
1/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,8.7,235,407
1/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.6,9.3,237,417
1/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,9,221,377
1/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.2,172,361
15/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,9.8,214,348
19/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,10.3,128,224
22/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,8.3,125,248
27/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,8.3,124,247
29/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,8.8,225,382
2/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,9.3,224,380
2/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,9.2,245,464
2/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,9.7,283,472
2/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8,7.6,130,231
16/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,8.7,151,281
19/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.2,145,296
24/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,9.4,235,417
26/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,7.8,168,344
3/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,10.3,156,350
3/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,10.1,176,344
3/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.1,211,393
3/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,14.2,155,324
16/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,8.8,160,307
23/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8,8.5,175,391
26/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,10.4,237,466
30/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.3,183,371
4/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,7.8,194,401
4/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.8,213,407
4/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,8.8,259,497
4/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,9.4,212,404
4/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,7.3,7.3,92,200
13/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,9.5,225,431
15/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,9.7,257,489
16/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.7,12.4,229,452
17/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.5,12.5,260,524
20/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,9.9,229,402
21/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.1,196,416
23/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,10.8,258,501
24/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.4,10.9,298,519
28/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,9.9,237,435
30/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,11.8,205,374
5/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.1,206,438
5/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
5/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,9.9,203,364
14/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,8.3,178,364
18/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,9.3,198,425
21/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,10.6,220,413
25/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,10.3,175,335
28/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,149,342
6/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11,12.3,201,370
6/4/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.2,12.4,236,422
6/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.5,12,198,375
6/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,10.7,179,347
15/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.3,10.8,197,417
18/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.5,12.3,238,442
22/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.2,12.8,243,545
25/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.3,12.7,194,396
29/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11,12.7,189,335
7/2/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,11.2,151,240
7/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.3,11.3,135,292
7/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
13/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.5,107,185
16/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.8,152,254
20/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,136,224
23/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,7.8,7.3,163,265
25/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,9.2,183,329
30/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.4,116,182
8/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,11.8,125,231
8/6/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11,144,273
8/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,12,13.3,280,422
13/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.3,12.8,119,270
20/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,10.8,229,410
24/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8,8.3,168,319
27/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,8.3,134,270
31/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10,11.3,118,248
9/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.4,159,286
9/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,9.5,137,300
9/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.8,163,283
14/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
16/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
24/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,10.4,192,353
30/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,8.5,134,393
10/1/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.6,8.4,93,198
10/8/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,10.9,153,282
10/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.8,11.8,168,329
15/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.5,12.8,182,340
22/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,9.8,203,369
26/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.8,12,227,443
29/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.3,259,561
11/5/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11.5,13,155,306
11/9/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8.5,10.2,165,372
11/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,NA,NA
16/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11,11.7,129,232
19/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,251,326
23/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.2,182,313
26/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,NA,NA,124,253
30/11/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,10.8,180,316
12/3/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.6,11.2,170,269
12/7/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,8,7.3,164,324
12/10/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,10.8,159,276
14/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,12.2,163,246
17/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.3,11.5,209,325
21/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,11,12.4,179,297
24/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,10.8,12,156,256
31/12/2009,Uttar Pradesh,Agra,Regional Office,Residential and others,9,9.7,139,243
13/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,61,434,813
14/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,59.8,346,832
16/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,55.3,552,936
22/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,40,242,689
27/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.5,38.5,331,993
28/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,37.3,257,824
2/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,46.3,238,746
2/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,41,267,556
2/12/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,25,281,626
13/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.5,34,245,530
17/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,51.8,247,904
18/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31.8,174,486
25/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,40.3,314,941
26/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.3,36,203,680
27/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.3,33.8,232,961
3/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7.3,40.3,313,833
3/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.5,37.5,283,722
3/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,33.8,281,708
14/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,40,242,506
16/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31,248,554
17/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.2,36.3,308,789
18/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7,32.8,292,708
19/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,42.2,275,719
20/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.3,43,349,1144
24/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.8,34,221,545
4/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,11.7,40.3,174,584
4/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,35,215,790
4/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,31.8,185,709
4/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,16.3,36,315,1038
13/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7.7,46.3,317,862
22/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,27.2,264,676
25/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,35.2,311,779
28/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.8,32.2,325,977
5/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,36.8,260,852
5/11/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,38.7,240,559
14/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,35.7,132,439
18/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,25,191,710
21/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,23.8,157,440
25/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.3,25.5,153,403
28/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,49.2,241,771
30/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,34.8,117,344
6/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,47.7,200,654
6/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,31.5,345,917
6/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,27.8,251,949
6/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.8,46.7,445,1099
6/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4,34.7,369,713
6/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,21.7,263,692
6/12/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.3,35.3,251,694
15/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,21.7,247,973
17/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,9,28.8,155,626
22/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,25,292,997
23/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,20.5,187,757
25/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,10.3,271,699
7/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.2,27.2,191,479
7/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3,35.2,235,411
7/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,16.8,97,266
15/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.8,21.5,80,265
21/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,21.2,65,229
22/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.5,23.7,111,268
24/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,24.3,71,165
29/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.2,22.2,141,564
30/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.5,20.8,137,535
8/3/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.5,16.7,128,565
8/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7.8,10.6,87,384
8/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,12.3,140,421
8/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,14.8,117,482
8/12/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,23.3,61,248
16/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,18.5,NA,85
19/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,27.8,80,329
22/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,23,112,519
25/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.2,27.8,101,278
28/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,28.2,137,406
29/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,22,110,289
9/2/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,24,73,255
9/4/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,22.3,106,225
9/7/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.5,23.8,122,316
9/11/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,34.2,66,158
15/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,32.8,124,524
16/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.5,30.8,192,633
22/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,21.8,140,604
23/9/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,34.5,335,882
10/1/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.3,48.8,70,369
10/5/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,29.5,36,65
10/8/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,2.3,38.7,172,453
10/11/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,4.2,44.5,190,469
14/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,7,54,274,714
20/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5.5,41.4,317,835
23/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,5,55.3,347,799
29/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,6.2,66.6,570,1013
11/6/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,61.8,373,944
11/10/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,41.3,338,839
13/11/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,39.8,214,361
14/11/2009,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,28.8,198,351
