Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
1,1/1/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,160,NA
1,1/2/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,22,180,NA
1,1/3/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,26,256,NA
1,1/4/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,28,279,NA
1,1/5/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,33,256,NA
1,1/8/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,17,321,NA
1,1/9/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,23,273,NA
1,1/10/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,50,315,NA
1,1/11/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,26,352,NA
1,1/12/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,30,299,NA
1,13/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,27,273,NA
1,15/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,24,168,NA
1,16/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,150,NA
1,18/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,25,213,NA
1,19/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,28,177,NA
1,20/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,42,212,NA
1,22/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,33,240,NA
1,23/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,33,209,NA
1,24/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,35,231,NA
1,25/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,26,185,NA
1,27/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,37,206,NA
1,29/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,8,28,232,NA
1,30/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,14,268,NA
1,31/01/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,36,238,NA
1,2/1/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,33,173,NA
1,2/2/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,40,180,NA
1,2/3/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,49,282,NA
1,2/5/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,24,174,NA
1,2/6/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,134,NA
1,2/7/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,23,86,NA
1,2/8/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,120,NA
1,2/9/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,82,NA
1,2/10/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,31,178,NA
1,2/12/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,33,242,NA
1,13/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,173,NA
1,14/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,136,NA
1,15/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,8,40,NA
1,17/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,21,141,NA
1,19/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,27,211,NA
1,20/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,16,128,NA
1,21/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,23,124,NA
1,22/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,143,NA
1,23/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,136,NA
1,24/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,21,168,NA
1,26/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,95,NA
1,27/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,20,105,NA
1,28/02/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,8,23,120,NA
1,3/1/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,19,132,NA
1,3/3/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,17,111,NA
1,3/5/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,7,24,120,NA
1,3/6/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,7,16,103,NA
1,3/7/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,91,NA
1,3/8/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,81,NA
1,3/9/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,123,NA
1,3/10/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,17,131,NA
1,3/12/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,25,146,NA
1,13/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,22,200,NA
1,14/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,23,186,NA
1,15/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,34,221,NA
1,16/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,39,245,NA
1,17/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,31,260,NA
1,19/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,22,235,NA
1,20/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,182,NA
1,21/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,15,120,NA
1,22/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,10,24,156,NA
1,23/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,15,154,NA
1,24/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,17,122,NA
1,26/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,27,158,NA
1,27/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,191,NA
1,28/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,157,NA
1,29/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,5,133,NA
1,30/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,150,NA
1,31/03/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,13,147,NA
1,4/2/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,6,94,NA
1,4/3/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,97,NA
1,4/4/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,19,142,NA
1,4/5/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,18,128,NA
1,4/6/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,9,31,160,NA
1,4/7/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,19,173,NA
1,4/9/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,8,18,146,NA
1,4/10/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,13,198,NA
1,4/11/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,11,157,NA
1,13/04/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,16,73,NA
1,18/04/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,105,NA
1,19/04/2011,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,3,18,135,NA
